path	faction	family	morale	cmd	independent	discipline	steadfast	vet	skill	sf	legacy_aio	flags
mp/nato/2022s/1ad_antitank.set	nato	2022s	aio_morale_regular		0	0	0	0	3		0	
mp/nato/2022s/1ad_antitank_assist.set	nato	2022s	aio_morale_regular		0	0	0	0	3		0	
mp/nato/2022s/1ad_autorifle.set	nato	2022s	aio_morale_regular		0	0	0	0			0	
mp/nato/2022s/1ad_autorifle_t.set	nato	2022s	aio_morale_regular		0	0	0	0			0	
mp/nato/2022s/1ad_engineer.set	nato	2022s	aio_morale_regular		0	0	0	0	3		0	
mp/nato/2022s/1ad_engineer_at.set	nato	2022s	aio_morale_regular		0	0	0	0	3		0	
mp/nato/2022s/1ad_engineer_javelin.set	nato	2022s	aio_morale_regular		0	0	0	0	3		0	
mp/nato/2022s/1ad_grenadier.set	nato	2022s	aio_morale_regular		0	0	0	0	3		0	
mp/nato/2022s/1ad_grenadier_t.set	nato	2022s	aio_morale_regular		0	0	0	0	3		0	
mp/nato/2022s/1ad_javelin.set	nato	2022s	aio_morale_regular		0	0	0	0	3		0	
mp/nato/2022s/1ad_marksman.set	nato	2022s	aio_morale_regular		0	0	0	0	3		0	
mp/nato/2022s/1ad_medic.set	nato	2022s	aio_morale_regular		0	0	0	0	3		0	
mp/nato/2022s/1ad_mg.set	nato	2022s	aio_morale_regular		0	0	0	0			0	
mp/nato/2022s/1ad_mg_assist.set	nato	2022s	aio_morale_regular		0	0	0	0			0	
mp/nato/2022s/1ad_rifleman.set	nato	2022s	aio_morale_regular		0	0	0	0	3		0	
mp/nato/2022s/1ad_rifleman_t.set	nato	2022s	aio_morale_regular		0	0	0	0	3		0	
mp/nato/2022s/1ad_scout.set	nato	2022s	aio_morale_regular		0	0	0	0	3		0	
mp/nato/2022s/1ad_squadlead.set	nato	2022s	aio_morale_regular	aio_cmd_primary	0	0	0	0	4		0	
mp/nato/2022s/1ad_squadlead_t.set	nato	2022s	aio_morale_regular	aio_cmd_primary	0	0	0	0	3		0	
mp/nato/2022s/1ad_teamlead.set	nato	2022s	aio_morale_regular	aio_cmd_junior	0	0	0	0	4		0	
mp/nato/2022s/1ad_teamlead_t.set	nato	2022s	aio_morale_regular	aio_cmd_junior	0	0	0	0	3		0	
mp/nato/2022s/82nd_antitank.set	nato	2022s	aio_morale_trained		0	0	0	0	4		0	
mp/nato/2022s/82nd_engineer.set	nato	2022s	aio_morale_trained		0	0	0	0	4		0	
mp/nato/2022s/82nd_engineer_at.set	nato	2022s	aio_morale_trained		0	0	0	0	4		0	
mp/nato/2022s/82nd_grenadier.set	nato	2022s	aio_morale_trained		0	0	0	0	4		0	
mp/nato/2022s/82nd_javelin.set	nato	2022s	aio_morale_trained		0	0	0	0	4		0	
mp/nato/2022s/82nd_marksman.set	nato	2022s	aio_morale_trained		0	0	0	0	4		0	
mp/nato/2022s/82nd_medic.set	nato	2022s	aio_morale_trained		0	0	0	0	4		0	
mp/nato/2022s/82nd_mg.set	nato	2022s	aio_morale_trained		0	0	0	0			0	
mp/nato/2022s/82nd_rifleman.set	nato	2022s	aio_morale_trained		0	0	0	0	4		0	
mp/nato/2022s/82nd_scout.set	nato	2022s	aio_morale_trained		0	0	0	0	4		0	
mp/nato/2022s/82nd_squadlead.set	nato	2022s	aio_morale_trained	aio_cmd_primary	0	0	0	0	5		0	
mp/nato/2022s/82nd_teamlead.set	nato	2022s	aio_morale_trained	aio_cmd_junior	0	0	0	5	5		0	
mp/nato/2022s/dg_antitank.set	nato	2022s	aio_morale_regular		0	0	0	0			0	
mp/nato/2022s/dg_antitank_javelin.set	nato	2022s	aio_morale_regular		0	0	0	0	3		0	
mp/nato/2022s/dg_antitank_nlaw.set	nato	2022s	aio_morale_regular		0	0	0	0	3		0	
mp/nato/2022s/dg_eng.set	nato	2022s	aio_morale_regular		0	0	0	0	3		0	
mp/nato/2022s/dg_eng_at.set	nato	2022s	aio_morale_regular		0	0	0	0	3		0	
mp/nato/2022s/dg_grenadier.set	nato	2022s	aio_morale_regular		0	0	0	0	3		0	
mp/nato/2022s/dg_marksman.set	nato	2022s	aio_morale_regular		0	0	0	0	3		0	
mp/nato/2022s/dg_medic.set	nato	2022s	aio_morale_regular		0	0	0	0	3		0	
mp/nato/2022s/dg_mg.set	nato	2022s	aio_morale_regular		0	0	0	0			0	
mp/nato/2022s/dg_rifleman.set	nato	2022s	aio_morale_regular		0	0	0	0	3		0	
mp/nato/2022s/dg_scout.set	nato	2022s	aio_morale_regular		0	0	0	0	3		0	
mp/nato/2022s/dg_squadlead.set	nato	2022s	aio_morale_regular	aio_cmd_primary	0	0	0	0	4		0	
mp/nato/2022s/dg_teamleader.set	nato	2022s	aio_morale_regular	aio_cmd_junior	0	0	0	0	4		0	
mp/nato/2022s/fj_antitank.set	nato	2022s	aio_morale_trained		0	0	0	0		4	0	
mp/nato/2022s/fj_eng.set	nato	2022s	aio_morale_trained		0	0	0	0		4	0	
mp/nato/2022s/fj_eng_at.set	nato	2022s	aio_morale_trained		0	0	0	0		4	0	
mp/nato/2022s/fj_grenadier.set	nato	2022s	aio_morale_trained		0	0	0	0		4	0	
mp/nato/2022s/fj_marksman.set	nato	2022s	aio_morale_trained		0	0	0	0		4	0	
mp/nato/2022s/fj_mg.set	nato	2022s	aio_morale_trained		0	0	0	0			0	
mp/nato/2022s/fj_rifleman.set	nato	2022s	aio_morale_trained		0	0	0	0		4	0	
mp/nato/2022s/fj_spotter.set	nato	2022s	aio_morale_trained		0	0	0	0		4	0	
mp/nato/2022s/fj_squadlead.set	nato	2022s	aio_morale_trained	aio_cmd_primary	0	0	0	0		5	0	
mp/nato/2022s/fj_teamlead.set	nato	2022s	aio_morale_trained	aio_cmd_junior	0	0	0	0		5	0	
mp/nato/2022s/fr_antitank.set	nato	2022s	aio_morale_elite		1	0	1	5	5		0	owner_review_formation_fr
mp/nato/2022s/fr_grenadier.set	nato	2022s	aio_morale_elite		1	0	1	5	5		0	owner_review_formation_fr
mp/nato/2022s/fr_medic.set	nato	2022s	aio_morale_elite		1	0	1	5	5		0	owner_review_formation_fr
mp/nato/2022s/fr_operator.set	nato	2022s	aio_morale_elite		1	0	1	5	5		0	owner_review_formation_fr
mp/nato/2022s/fr_rifleman.set	nato	2022s	aio_morale_elite		1	0	1	5	5		0	owner_review_formation_fr
mp/nato/2022s/fr_sniper.set	nato	2022s	aio_morale_elite		1	0	1	5	5		0	owner_review_formation_fr
mp/nato/2022s/fr_spotter.set	nato	2022s	aio_morale_elite		1	0	1	5	5		0	owner_review_formation_fr
